Date,Open,High,Low,Close
2020-08-27,1953.31,1976.6,1910.22,1928.91
2020-08-28,1930.04,1973.91,1923.7,1964.49
2020-08-31,1965.4,1976.47,1954.58,1969.75
2020-09-01,1967.63,1992.38,1963.2,1970.14
2020-09-02,1969.75,1974.45,1932.76,1942.62
2020-09-03,1943.06,1951.19,1921.99,1930.52
2020-09-04,1931.51,1942.25,1916.67,1932.45
2020-09-07,1931.24,1941.44,1924.57,1928.82
2020-09-08,1930.05,1940.84,1906.67,1930.93
2020-09-09,1932.26,1950.95,1920.2,1946.66
2020-09-10,1946.06,1966.5,1941.42,1954.07
2020-09-11,1955.2,1957.95,1937.42,1941.5
2020-09-14,1941.05,1962.52,1937.46,1956.37
2020-09-15,1957.31,1972.35,1948.64,1955.52
2020-09-16,1956.19,1973.63,1949.89,1959.32
2020-09-17,1959.99,1963.48,1932.99,1942.6
2020-09-18,1943.87,1960.2,1941.79,1949.69
2020-09-21,1949.55,1955.75,1883.21,1912.57
2020-09-22,1912.8,1919.99,1894.93,1899.28
2020-09-23,1900.2,1905.56,1855.77,1863.55
2020-09-24,1863.42,1877.3,1848.45,1868.04
2020-09-25,1868.61,1875.28,1852.59,1860.05
2020-09-28,1859.0,1883.39,1849.19,1880.85
2020-09-29,1881.4,1899.24,1875.56,1897.69
2020-09-30,1897.81,1902.39,1881.31,1885.44
2020-10-01,1885.8,1912.09,1884.48,1905.05
2020-10-02,1905.65,1917.28,1889.57,1898.7
2020-10-05,1902.24,1918.74,1886.81,1912.9
2020-10-06,1913.28,1921.1,1874.57,1877.13
2020-10-07,1878.84,1898.31,1873.05,1887.22
2020-10-08,1887.4,1900.73,1881.86,1893.09
2020-10-09,1894.19,1930.83,1893.32,1929.43
2020-10-12,1930.5,1933.45,1918.19,1921.95
2020-10-13,1922.42,1925.73,1886.59,1890.82
2020-10-14,1891.9,1913.03,1882.44,1900.89
2020-10-15,1900.31,1909.22,1889.46,1907.82
2020-10-16,1907.95,1914.06,1897.59,1898.97
2020-10-19,1899.94,1918.59,1897.09,1904.27
2020-10-20,1904.24,1914.2,1894.74,1906.39
2020-10-21,1908.65,1931.41,1907.94,1924.49
2020-10-22,1924.34,1926.0,1894.8,1904.04
2020-10-23,1904.24,1914.3,1894.54,1900.79
2020-10-26,1902.34,1908.55,1890.9,1901.69
2020-10-27,1902.19,1911.34,1897.47,1906.83
2020-10-28,1908.05,1911.03,1869.59,1877.06
2020-10-29,1876.94,1885.42,1859.67,1867.13
2020-10-30,1868.24,1889.85,1864.64,1877.95
2020-11-02,1878.59,1896.12,1873.21,1895.1
2020-11-03,1895.8,1910.71,1886.81,1908.36
2020-11-04,1908.59,1916.68,1883.15,1903.21
2020-11-05,1903.65,1952.95,1902.43,1948.56
2020-11-06,1949.24,1960.77,1935.4,1951.51
2020-11-09,1954.65,1965.92,1850.36,1861.86
2020-11-10,1862.15,1890.6,1860.3,1876.5
2020-11-11,1877.34,1884.93,1856.05,1864.71
2020-11-12,1865.3,1883.88,1862.46,1875.76
2020-11-13,1876.44,1897.16,1873.76,1888.04
2020-11-16,1888.74,1899.35,1864.74,1888.52
2020-11-17,1889.15,1893.9,1877.69,1878.6
2020-11-18,1878.6,1884.92,1863.94,1871.41
2020-11-19,1871.44,1874.34,1852.48,1867.37
2020-11-20,1867.59,1879.98,1860.66,1870.49
2020-11-23,1869.84,1876.72,1830.85,1835.85
2020-11-24,1836.65,1839.26,1800.69,1807.51
2020-11-25,1807.69,1817.98,1801.33,1805.3
2020-11-26,1805.74,1818.78,1805.31,1810.57
2020-11-27,1811.09,1813.81,1773.93,1788.13
2020-11-30,1789.05,1789.99,1764.69,1777.02
2020-12-01,1777.4,1817.55,1775.52,1814.87
2020-12-02,1815.19,1832.65,1806.99,1831.01
2020-12-03,1831.34,1844.45,1823.6,1840.36
2020-12-04,1841.05,1848.26,1829.3,1837.61
2020-12-07,1837.99,1868.76,1822.99,1863.69
2020-12-08,1863.55,1875.79,1859.83,1871.36
2020-12-09,1871.19,1871.37,1825.71,1839.11
2020-12-10,1839.59,1850.4,1828.48,1835.31
2020-12-11,1835.55,1847.89,1824.23,1839.03
2020-12-14,1839.3,1839.86,1819.92,1827.17
2020-12-15,1827.8,1855.76,1825.29,1853.46
2020-12-16,1853.94,1866.2,1844.75,1864.15
2020-12-17,1864.26,1896.26,1861.83,1885.87
2020-12-18,1885.8,1889.88,1876.97,1880.66
2020-12-21,1883.2,1906.93,1856.69,1876.21
2020-12-22,1876.65,1884.61,1858.73,1859.56
2020-12-23,1859.99,1878.59,1858.59,1872.08
2020-12-24,1872.74,1882.55,1869.52,1876.56
2020-12-25,1877.07,1877.07,1877.07,1875.82
2020-12-28,1885.93,1900.53,1869.21,1871.19
2020-12-29,1872.24,1886.91,1870.99,1877.99
2020-12-30,1878.34,1894.06,1875.66,1893.37
2020-12-31,1893.55,1901.26,1884.77,1896.49
2021-01-01,1897.69,1899.12,1897.39,1898.1
2021-01-04,1906.05,1944.65,1905.36,1942.28
2021-01-05,1942.65,1953.17,1934.08,1949.35
2021-01-06,1950.3,1959.6,1901.11,1918.81
2021-01-07,1919.4,1927.97,1906.86,1912.5
2021-01-08,1912.9,1917.85,1828.74,1848.26
2021-01-11,1849.34,1857.05,1817.14,1844.66
2021-01-12,1845.34,1864.08,1837.41,1855.63
2021-01-13,1856.19,1863.26,1843.34,1843.41
2021-01-14,1843.94,1857.59,1833.21,1846.37
2021-01-15,1846.8,1856.85,1823.21,1826.59
2021-01-18,1828.94,1840.95,1810.46,1836.89
2021-01-19,1838.09,1845.98,1833.06,1839.34
2021-01-20,1840.05,1872.03,1832.46,1870.91
2021-01-21,1871.07,1875.45,1858.16,1869.91
2021-01-22,1870.09,1871.17,1837.09,1852.55
2021-01-25,1855.75,1868.45,1847.3,1854.99
2021-01-26,1855.55,1861.86,1848.36,1850.31
2021-01-27,1850.65,1853.58,1831.29,1843.99
2021-01-28,1844.34,1864.26,1833.81,1840.36
2021-01-29,1840.9,1876.03,1839.56,1846.09
2021-02-01,1863.05,1871.84,1849.04,1860.16
2021-02-02,1860.84,1864.26,1829.46,1837.35
2021-02-03,1837.49,1845.29,1829.49,1833.76
2021-02-04,1834.34,1835.13,1785.15,1792.26
2021-02-05,1792.49,1815.32,1791.8,1811.62
2021-02-08,1815.44,1839.15,1807.48,1830.16
2021-02-09,1830.59,1849.15,1828.63,1837.06
2021-02-10,1837.55,1855.7,1833.91,1842.22
2021-02-11,1842.65,1847.95,1820.63,1825.36
2021-02-12,1825.9,1830.8,1810.33,1823.46
2021-02-15,1825.34,1827.59,1815.71,1818.51
2021-02-16,1819.34,1826.75,1789.19,1794.31
2021-02-17,1794.65,1795.45,1769.27,1776.26
2021-02-18,1776.69,1789.88,1767.98,1775.49
2021-02-19,1776.19,1791.7,1760.13,1782.31
2021-02-22,1782.24,1812.76,1780.46,1808.66
2021-02-23,1809.09,1816.27,1795.78,1805.06
2021-02-24,1805.34,1813.99,1783.3,1804.36
2021-02-25,1804.8,1806.06,1765.44,1769.88
2021-02-26,1770.49,1776.1,1717.26,1733.49
2021-03-01,1733.4,1760.02,1719.52,1723.84
2021-03-02,1724.1,1738.89,1707.18,1738.09
2021-03-03,1738.59,1740.85,1701.94,1710.95
2021-03-04,1711.84,1723.34,1690.64,1697.19
2021-03-05,1698.59,1707.76,1687.12,1700.86
2021-03-08,1702.8,1714.45,1676.7,1681.24
2021-03-09,1682.55,1720.83,1679.8,1715.36
2021-03-10,1715.94,1726.76,1707.99,1726.05
2021-03-11,1726.55,1739.99,1719.38,1721.41
2021-03-12,1721.59,1728.42,1698.85,1726.41
2021-03-15,1727.74,1734.99,1721.31,1731.84
2021-03-16,1730.57,1741.4,1725.8,1730.94
2021-03-17,1730.61,1751.81,1724.14,1744.44
2021-03-18,1745.09,1755.59,1719.05,1736.41
2021-03-19,1735.9,1746.88,1728.04,1744.74
2021-03-22,1745.74,1747.18,1727.4,1738.69
2021-03-23,1739.05,1742.85,1724.42,1726.94
2021-03-24,1727.8,1738.56,1723.85,1734.19
2021-03-25,1735.65,1745.95,1721.84,1726.82
2021-03-26,1727.3,1737.01,1721.23,1731.97
2021-03-29,1732.15,1733.34,1705.58,1711.99
2021-03-30,1712.55,1714.74,1678.85,1684.8
2021-03-31,1685.59,1715.28,1677.93,1707.01
2021-04-01,1708.09,1730.8,1705.42,1730.18
2021-04-02,1730.47,1732.55,1728.67,1728.84
2021-04-05,1728.74,1733.75,1721.22,1728.44
2021-04-06,1728.49,1745.68,1726.82,1743.57
2021-04-07,1742.96,1744.57,1730.13,1737.28
2021-04-08,1737.84,1759.13,1732.99,1755.94
2021-04-09,1756.54,1757.47,1731.09,1743.1
2021-04-12,1743.8,1745.36,1727.18,1732.51
2021-04-13,1732.59,1749.23,1723.27,1743.83
2021-04-14,1744.3,1749.58,1732.13,1736.0
2021-04-15,1737.1,1769.91,1734.1,1763.21
2021-04-16,1763.84,1784.07,1759.79,1776.31
2021-04-19,1779.5,1790.54,1765.98,1769.31
2021-04-20,1770.3,1780.77,1763.18,1777.25
2021-04-21,1778.64,1797.98,1775.95,1793.46
2021-04-22,1794.15,1798.29,1776.83,1783.94
2021-04-23,1784.33,1796.06,1770.05,1777.18
2021-04-26,1776.34,1783.69,1768.7,1780.19
2021-04-27,1780.42,1785.9,1773.52,1776.69
2021-04-28,1776.8,1782.85,1762.56,1781.32
2021-04-29,1780.9,1790.43,1756.19,1771.24
2021-04-30,1772.9,1773.98,1763.73,1768.59
2021-05-03,1768.49,1798.22,1765.91,1792.36
2021-05-04,1792.29,1799.38,1770.84,1778.48
2021-05-05,1778.91,1788.35,1769.95,1786.44
2021-05-06,1787.09,1818.21,1781.67,1815.18
2021-05-07,1815.48,1843.45,1812.9,1830.48
2021-05-10,1833.24,1845.53,1830.09,1835.44
2021-05-11,1834.58,1842.32,1817.68,1836.94
2021-05-12,1837.4,1843.69,1813.0,1815.44
2021-05-13,1815.9,1828.81,1808.78,1826.57
2021-05-14,1826.49,1845.55,1819.79,1842.19
2021-05-17,1843.84,1868.8,1841.24,1866.13
2021-05-18,1866.59,1875.4,1862.94,1868.22
2021-05-19,1869.59,1890.15,1851.94,1869.57
2021-05-20,1869.74,1884.12,1863.53,1876.69
2021-05-21,1876.84,1889.85,1870.01,1880.3
2021-05-24,1882.34,1887.44,1875.19,1881.07
2021-05-25,1880.69,1900.63,1872.73,1899.26
2021-05-26,1899.49,1913.15,1890.34,1896.44
2021-05-27,1896.49,1903.87,1888.22,1896.08
2021-05-28,1897.05,1905.9,1881.84,1902.64
2021-05-31,1903.69,1911.13,1901.56,1906.36
2021-06-01,1907.53,1916.84,1892.28,1900.19
2021-06-02,1900.05,1909.34,1894.05,1907.94
2021-06-03,1908.09,1909.89,1865.11,1870.57
2021-06-04,1871.32,1896.6,1856.09,1889.97
2021-06-07,1888.49,1900.41,1880.88,1899.0
2021-06-08,1898.99,1903.95,1883.38,1892.82
2021-06-09,1893.49,1899.4,1886.58,1888.77
2021-06-10,1888.57,1900.09,1869.84,1897.51
2021-06-11,1898.42,1903.3,1874.07,1876.64
2021-06-14,1874.59,1878.21,1844.57,1865.99
2021-06-15,1866.26,1869.67,1851.28,1858.69
2021-06-16,1858.96,1862.43,1804.19,1811.95
2021-06-17,1812.18,1825.58,1766.88,1773.31
2021-06-18,1772.73,1797.24,1761.04,1763.34
2021-06-21,1764.44,1786.75,1764.44,1782.95
2021-06-22,1783.23,1790.42,1771.99,1778.52
2021-06-23,1778.8,1795.18,1773.13,1778.73
2021-06-24,1779.01,1788.56,1772.67,1775.18
2021-06-25,1775.46,1790.6,1773.27,1780.34
2021-06-28,1781.24,1785.9,1770.69,1778.18
2021-06-29,1778.44,1779.24,1750.11,1761.09
2021-06-30,1761.35,1774.72,1752.78,1769.8
2021-07-01,1770.06,1783.07,1765.47,1776.62
2021-07-02,1776.83,1795.4,1773.73,1786.79
2021-07-05,1787.69,1795.69,1784.09,1791.61
2021-07-06,1791.88,1815.34,1789.91,1796.69
2021-07-07,1796.96,1810.13,1793.64,1803.41
2021-07-08,1803.67,1818.7,1794.28,1802.56
2021-07-09,1802.89,1812.71,1796.09,1807.98
2021-07-12,1807.94,1811.04,1791.21,1806.07
2021-07-13,1806.17,1817.51,1798.54,1807.69
2021-07-14,1807.72,1830.32,1804.21,1827.06
2021-07-15,1827.35,1833.99,1820.07,1829.19
2021-07-16,1829.45,1832.2,1808.65,1810.89
2021-07-19,1811.65,1817.56,1794.66,1812.34
2021-07-20,1812.61,1825.27,1805.06,1810.03
2021-07-21,1810.32,1814.02,1794.18,1803.31
2021-07-22,1803.58,1808.34,1792.11,1806.56
2021-07-23,1806.95,1810.56,1790.45,1801.34
2021-07-26,1802.65,1811.97,1795.68,1797.27
2021-07-27,1797.53,1805.6,1792.83,1798.82
2021-07-28,1799.0,1809.9,1792.6,1806.52
2021-07-29,1807.15,1833.05,1806.29,1827.95
2021-07-30,1828.21,1831.63,1809.48,1813.58
2021-08-01,1814.1,1815.35,1812.17,1813.99
2021-08-02,1813.96,1816.99,1806.78,1807.76
